"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 28","3,417.20","3,394.18","3,423.36","3,384.46","","0.58%"
"2025- 08- 27","3,397.42","3,392.88","3,398.94","3,373.76","","0.13%"
"2025- 08- 26","3,392.88","3,366.78","3,394.33","3,351.26","","0.77%"
"2025- 08- 25","3,366.79","3,371.23","3,376.47","3,359.69","","-0.16%"
"2025- 08- 22","3,372.11","3,338.76","3,379.01","3,321.49","","1.00%"
"2025- 08- 21","3,338.81","3,347.38","3,353.25","3,325.27","","-0.25%"
"2025- 08- 20","3,347.11","3,315.46","3,350.50","3,311.46","","0.95%"
"2025- 08- 19","3,315.46","3,332.38","3,345.46","3,314.88","","-0.45%"
"2025- 08- 18","3,330.55","3,338.00","3,358.50","3,323.52","","-0.15%"
"2025- 08- 15","3,335.39","3,336.50","3,349.02","3,332.16","","-0.03%"
"2025- 08- 14","3,336.50","3,354.73","3,374.97","3,329.85","","-0.54%"
"2025- 08- 13","3,354.73","3,346.20","3,370.90","3,342.65","","0.25%"
"2025- 08- 12","3,346.20","3,342.64","3,359.27","3,331.03","","0.04%"
"2025- 08- 11","3,344.83","3,398.50","3,405.10","3,340.82","","-1.59%"
"2025- 08- 08","3,398.78","3,397.28","3,408.83","3,379.61","","0.04%"
"2025- 08- 07","3,397.31","3,366.11","3,402.71","3,364.77","","0.84%"
"2025- 08- 06","3,369.04","3,379.69","3,385.47","3,358.26","","-0.36%"
"2025- 08- 05","3,381.27","3,373.38","3,390.62","3,349.89","","0.23%"
"2025- 08- 04","3,373.37","3,365.10","3,385.56","3,345.00","","0.31%"
"2025- 08- 01","3,362.88","3,290.83","3,363.55","3,281.55","","2.21%"
"2025- 07- 31","3,290.32","3,275.91","3,314.98","3,273.77","","0.46%"
"2025- 07- 30","3,275.25","3,324.01","3,334.21","3,268.15","","-1.55%"
"2025- 07- 29","3,326.84","3,316.54","3,334.21","3,307.95","","0.37%"
"2025- 07- 28","3,314.64","3,335.00","3,345.56","3,301.66","","-0.68%"
"2025- 07- 25","3,337.18","3,369.29","3,373.73","3,325.05","","-0.92%"
"2025- 07- 24","3,368.15","3,387.79","3,393.47","3,351.40","","-0.58%"
"2025- 07- 23","3,387.78","3,431.26","3,439.09","3,381.45","","-1.27%"
"2025- 07- 22","3,431.50","3,395.81","3,433.56","3,383.29","","1.05%"
"2025- 07- 21","3,395.80","3,348.62","3,401.85","3,344.48","","1.36%"
"2025- 07- 18","3,350.40","3,338.76","3,361.41","3,331.75","","0.34%"
"2025- 07- 17","3,338.95","3,346.59","3,352.50","3,309.90","","-0.23%"
"2025- 07- 16","3,346.58","3,322.63","3,377.50","3,319.69","","0.72%"
"2025- 07- 15","3,322.63","3,343.80","3,366.58","3,320.27","","-0.63%"
"2025- 07- 14","3,343.80","3,355.91","3,374.94","3,341.10","","-0.36%"
"2025- 07- 11","3,355.91","3,325.63","3,368.89","3,321.37","","0.99%"
"2025- 07- 10","3,323.07","3,313.70","3,330.47","3,310.23","","0.28%"
"2025- 07- 09","3,313.72","3,298.73","3,317.05","3,282.80","","0.39%"
"2025- 07- 08","3,300.70","3,335.99","3,345.94","3,287.17","","-1.05%"
"2025- 07- 07","3,335.61","3,335.95","3,343.29","3,296.41","","-0.03%"
"2025- 07- 04","3,336.64","3,326.44","3,345.15","3,323.59","","0.30%"
"2025- 07- 03","3,326.57","3,357.36","3,365.81","3,311.70","","-0.92%"
"2025- 07- 02","3,357.36","3,338.36","3,360.08","3,327.60","","0.54%"
"2025- 07- 01","3,339.21","3,302.87","3,358.09","3,301.52","","1.08%"
"2025- 06- 30","3,303.69","3,272.65","3,309.58","3,247.86","","0.90%"
"2025- 06- 27","3,274.25","3,328.06","3,328.88","3,255.72","","-1.62%"
"2025- 06- 26","3,328.06","3,332.47","3,350.47","3,310.01","","-0.13%"
"2025- 06- 25","3,332.46","3,324.20","3,337.23","3,312.00","","0.25%"
"2025- 06- 24","3,324.20","3,368.79","3,371.01","3,295.38","","-1.33%"
"2025- 06- 23","3,368.88","3,367.17","3,399.25","3,347.25","","0.02%"
"2025- 06- 20","3,368.23","3,370.82","3,374.63","3,340.38","","-0.07%"
"2025- 06- 19","3,370.75","3,369.08","3,388.07","3,347.59","","0.05%"
"2025- 06- 18","3,369.09","3,390.40","3,400.05","3,362.54","","-0.58%"
"2025- 06- 17","3,388.74","3,383.20","3,403.39","3,366.25","","0.16%"
"2025- 06- 16","3,383.20","3,431.54","3,451.62","3,382.40","","-1.44%"
"2025- 06- 13","3,432.64","3,385.30","3,447.02","3,379.79","","1.40%"
"2025- 06- 12","3,385.29","3,357.24","3,399.16","3,338.64","","0.94%"
"2025- 06- 11","3,353.84","3,322.52","3,360.82","3,315.23","","0.93%"
"2025- 06- 10","3,323.02","3,328.58","3,349.28","3,301.92","","-0.16%"
"2025- 06- 09","3,328.33","3,311.51","3,338.43","3,293.70","","0.55%"
"2025- 06- 06","3,310.17","3,354.26","3,375.74","3,306.87","","-1.31%"
"2025- 06- 05","3,354.16","3,376.55","3,403.55","3,339.20","","-0.66%"
"2025- 06- 04","3,376.54","3,352.56","3,384.84","3,343.76","","0.72%"
"2025- 06- 03","3,352.25","3,379.99","3,392.53","3,333.08","","-0.83%"
"2025- 06- 02","3,380.21","3,289.80","3,383.24","3,289.41","","2.76%"
"2025- 05- 30","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"2025- 05- 29","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"2025- 05- 28","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"2025- 05- 27","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"2025- 05- 26","3,342.94","3,354.30","3,357.03","3,323.91","","-0.43%"
"2025- 05- 23","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"2025- 05- 22","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"2025- 05- 21","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"2025- 05- 20","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
"2025- 05- 19","3,229.85","3,214.60","3,249.91","3,205.98","","0.85%"
"2025- 05- 16","3,202.77","3,239.11","3,252.27","3,154.32","","-1.18%"
"2025- 05- 15","3,240.87","3,178.06","3,241.26","3,120.52","","1.95%"
"2025- 05- 14","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"2025- 05- 13","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"2025- 05- 12","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"2025- 05- 09","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"2025- 05- 08","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"2025- 05- 07","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"2025- 05- 06","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"2025- 05- 05","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"2025- 05- 02","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
"2025- 05- 01","3,241.00","3,288.55","3,290.94","3,202.09","","-1.45%"
"2025- 04- 30","3,288.59","3,316.92","3,328.36","3,267.09","","-0.86%"
"2025- 04- 29","3,317.18","3,341.67","3,349.08","3,299.23","","-0.73%"
"2025- 04- 28","3,341.67","3,328.40","3,353.33","3,267.81","","0.67%"
"2025- 04- 25","3,319.45","3,347.20","3,371.15","3,265.25","","-0.89%"
"2025- 04- 24","3,349.10","3,288.43","3,367.59","3,287.77","","1.85%"
"2025- 04- 23","3,288.26","3,382.55","3,386.89","3,260.50","","-2.79%"
"2025- 04- 22","3,382.54","3,421.57","3,500.33","3,366.74","","-1.22%"
"2025- 04- 21","3,424.30","3,334.41","3,430.93","3,327.82","","2.91%"
"2025- 04- 17","3,327.54","3,344.41","3,358.00","3,283.87","","-0.47%"
"2025- 04- 16","3,343.22","3,226.25","3,345.19","3,226.25","121.32K","3.58%"
"2025- 04- 15","3,227.60","3,210.21","3,234.16","3,209.36","121.32K","0.57%"
"2025- 04- 14","3,209.28","3,237.35","3,245.84","3,193.41","","-0.83%"
"2025- 04- 11","3,236.21","3,174.14","3,245.69","3,174.14","","1.96%"
"2025- 04- 10","3,173.92","3,083.75","3,176.94","3,071.03","","2.98%"
"2025- 04- 09","3,082.18","2,984.08","3,099.87","2,970.01","","3.30%"
"2025- 04- 08","2,983.78","2,983.39","3,022.84","2,974.45","","0.04%"
"2025- 04- 07","2,982.54","3,038.02","3,055.88","2,956.60","","-1.80%"
"2025- 04- 04","3,037.36","3,113.16","3,137.10","3,015.64","","-2.42%"
"2025- 04- 03","3,112.83","3,134.16","3,168.04","3,054.19","","-0.66%"
"2025- 04- 02","3,133.57","3,111.00","3,140.36","3,104.81","","0.74%"
"2025- 04- 01","3,110.55","3,123.36","3,149.11","3,100.85","","-0.40%"
"2025- 03- 31","3,123.05","3,086.54","3,128.29","3,076.62","","1.27%"
"2025- 03- 28","3,084.03","3,056.35","3,086.93","3,053.91","","0.91%"
"2025- 03- 27","3,056.10","3,019.56","3,059.75","3,017.26","","1.22%"
"2025- 03- 26","3,019.29","3,020.13","3,032.23","3,012.38","","-0.02%"
"2025- 03- 25","3,019.85","3,012.40","3,035.94","3,007.53","","0.25%"
"2025- 03- 24","3,012.27","3,023.03","3,033.44","3,002.34","","-0.38%"
"2025- 03- 21","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"2025- 03- 20","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"2025- 03- 19","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
"2025- 03- 18","3,033.95","2,999.11","3,038.45","2,999.11","","1.08%"
"2025- 03- 17","3,001.47","2,985.80","3,002.23","2,982.13","","0.57%"
"2025- 03- 14","2,984.42","2,988.38","3,005.08","2,978.41","","-0.11%"
"2025- 03- 13","2,987.75","2,932.66","2,989.64","2,932.03","","1.90%"
"2025- 03- 12","2,932.06","2,916.85","2,940.83","2,906.19","","0.55%"
"2025- 03- 11","2,916.04","2,888.72","2,922.22","2,880.34","","0.92%"
