,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
Open,1.000000,0.999531,0.999344,0.999135,-0.209289,0.248811,0.322360,-0.213169,0.242183,
High,0.999531,1.000000,0.999049,0.999590,-0.204914,0.258350,0.328783,-0.208532,0.252280,
Low,0.999344,0.999049,1.000000,0.999467,-0.215154,0.236124,0.314785,-0.218573,0.230257,
Close,0.999135,0.999590,0.999467,1.000000,-0.209673,0.248485,0.322466,-0.212975,0.242905,
Volume,-0.209289,-0.204914,-0.215154,-0.209673,1.000000,0.798922,0.711298,0.999508,0.801725,
Quote asset volume,0.248811,0.258350,0.236124,0.248485,0.798922,1.000000,0.868308,0.796906,0.999245,
Number of trades,0.322360,0.328783,0.314785,0.322466,0.711298,0.868308,1.000000,0.710287,0.867958,
Taker buy base asset volume,-0.213169,-0.208532,-0.218573,-0.212975,0.999508,0.796906,0.710287,1.000000,0.800619,
Taker buy quote asset volume,0.242183,0.252280,0.230257,0.242905,0.801725,0.999245,0.867958,0.800619,1.000000,
Ignore,,,,,,,,,,
