,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
Open,1.000000,0.999473,0.999246,0.998958,-0.176692,0.610601,0.642626,-0.198980,0.604774,
High,0.999473,1.000000,0.999019,0.999496,-0.168233,0.616052,0.646687,-0.189861,0.610667,
Low,0.999246,0.999019,1.000000,0.999456,-0.187427,0.603964,0.637972,-0.208957,0.598584,
Close,0.998958,0.999496,0.999456,1.000000,-0.177127,0.610423,0.642550,-0.198154,0.605377,
Volume,-0.176692,-0.168233,-0.187427,-0.177127,1.000000,0.594691,0.479441,0.997205,0.598564,
Quote asset volume,0.610601,0.616052,0.603964,0.610423,0.594691,1.000000,0.943634,0.577224,0.999220,
Number of trades,0.642626,0.646687,0.637972,0.642550,0.479441,0.943634,1.000000,0.460454,0.941010,
Taker buy base asset volume,-0.198980,-0.189861,-0.208957,-0.198154,0.997205,0.577224,0.460454,1.000000,0.583332,
Taker buy quote asset volume,0.604774,0.610667,0.598584,0.605377,0.598564,0.999220,0.941010,0.583332,1.000000,
Ignore,,,,,,,,,,
