,value,value_classification,timestamp,time_until_update
0,46,Fear,2025-09-01 09:00:00,20603
1,48,Neutral,2025-08-31 09:00:00,
2,39,Fear,2025-08-30 09:00:00,
3,50,Neutral,2025-08-29 09:00:00,
4,48,Neutral,2025-08-28 09:00:00,
5,51,Neutral,2025-08-27 09:00:00,
6,48,Neutral,2025-08-26 09:00:00,
7,47,Neutral,2025-08-25 09:00:00,
8,53,Neutral,2025-08-24 09:00:00,
9,60,Greed,2025-08-23 09:00:00,
10,50,Neutral,2025-08-22 09:00:00,
11,50,Neutral,2025-08-21 09:00:00,
12,44,Fear,2025-08-20 09:00:00,
13,56,Greed,2025-08-19 09:00:00,
14,60,Greed,2025-08-18 09:00:00,
15,64,Greed,2025-08-17 09:00:00,
16,56,Greed,2025-08-16 09:00:00,
17,60,Greed,2025-08-15 09:00:00,
18,75,Greed,2025-08-14 09:00:00,
19,73,Greed,2025-08-13 09:00:00,
20,68,Greed,2025-08-12 09:00:00,
21,70,Greed,2025-08-11 09:00:00,
22,69,Greed,2025-08-10 09:00:00,
23,67,Greed,2025-08-09 09:00:00,
24,74,Greed,2025-08-08 09:00:00,
25,62,Greed,2025-08-07 09:00:00,
26,54,Neutral,2025-08-06 09:00:00,
27,60,Greed,2025-08-05 09:00:00,
28,64,Greed,2025-08-04 09:00:00,
29,53,Neutral,2025-08-03 09:00:00,
30,55,Greed,2025-08-02 09:00:00,
31,65,Greed,2025-08-01 09:00:00,
32,72,Greed,2025-07-31 09:00:00,
33,74,Greed,2025-07-30 09:00:00,
34,73,Greed,2025-07-29 09:00:00,
35,75,Greed,2025-07-28 09:00:00,
36,73,Greed,2025-07-27 09:00:00,
37,72,Greed,2025-07-26 09:00:00,
38,70,Greed,2025-07-25 09:00:00,
39,71,Greed,2025-07-24 09:00:00,
40,74,Greed,2025-07-23 09:00:00,
41,72,Greed,2025-07-22 09:00:00,
42,71,Greed,2025-07-21 09:00:00,
43,72,Greed,2025-07-20 09:00:00,
44,74,Greed,2025-07-19 09:00:00,
45,73,Greed,2025-07-18 09:00:00,
46,74,Greed,2025-07-17 09:00:00,
47,70,Greed,2025-07-16 09:00:00,
48,73,Greed,2025-07-15 09:00:00,
49,74,Greed,2025-07-14 09:00:00,
50,74,Greed,2025-07-13 09:00:00,
51,79,Extreme Greed,2025-07-12 09:00:00,
52,71,Greed,2025-07-11 09:00:00,
53,71,Greed,2025-07-10 09:00:00,
54,66,Greed,2025-07-09 09:00:00,
55,65,Greed,2025-07-08 09:00:00,
56,73,Greed,2025-07-07 09:00:00,
57,66,Greed,2025-07-06 09:00:00,
58,67,Greed,2025-07-05 09:00:00,
59,73,Greed,2025-07-04 09:00:00,
60,73,Greed,2025-07-03 09:00:00,
61,63,Greed,2025-07-02 09:00:00,
62,64,Greed,2025-07-01 09:00:00,
63,66,Greed,2025-06-30 09:00:00,
64,68,Greed,2025-06-29 09:00:00,
65,65,Greed,2025-06-28 09:00:00,
66,65,Greed,2025-06-27 09:00:00,
67,74,Greed,2025-06-26 09:00:00,
